B,Points_0,Points_1,Points_2,U,V
0.5,-0.00714525,0.00109863,0,-3.04545e-05,3.02797e-05
0.5,-0.00713379,0.00108729,0,-3.27622e-05,3.03201e-05
0.5,-0.00713043,0.00108398,0,-3.21813e-05,3.1379e-05
0.5,-0.00711914,0.00107312,0,-2.76563e-05,2.81744e-05
0.5,-0.00711526,0.00106934,0,-2.8775e-05,2.90523e-05
0.5,-0.00710449,0.00105911,0,-2.74447e-05,2.67791e-05
0.5,-0.00709985,0.00105469,0,-2.8617e-05,3.00754e-05
0.5,-0.00708984,0.00104539,0,-2.66693e-05,2.8084e-05
0.5,-0.00708414,0.00104004,0,-3.10614e-05,3.01284e-05
0.5,-0.0070752,0.0010318,0,-3.15447e-05,3.00208e-05
0.5,-0.0070682,0.00102539,0,-3.50562e-05,3.46672e-05
0.5,-0.00706055,0.00101843,0,-3.62225e-05,3.44757e-05
0.5,-0.00705194,0.00101074,0,-4.18359e-05,3.83154e-05
0.5,-0.0070459,0.0010053,0,-4.35382e-05,3.94314e-05
0.5,-0.00703527,0.000996094,0,-5.07735e-05,4.65961e-05
0.5,-0.00703125,0.000992496,0,-5.23687e-05,4.73892e-05
0.5,-0.00701795,0.000981445,0,-6.2242e-05,5.64371e-05
0.5,-0.0070166,0.000980246,0,-6.28425e-05,5.67738e-05
0.5,-0.00700195,0.0009685,0,-5.95252e-05,4.77154e-05
0.5,-0.00700001,0.000966797,0,-6.26759e-05,5.18963e-05
0.5,-0.0069873,0.000956556,0,-4.86717e-05,4.5932e-05
0.5,-0.0069821,0.000952148,0,-5.98749e-05,5.25866e-05
0.5,-0.00697266,0.000944455,0,-6.10822e-05,5.22526e-05
0.5,-0.00696406,0.0009375,0,-7.00271e-05,6.70725e-05
0.5,-0.00695801,0.000932494,0,-7.14726e-05,6.94682e-05
0.5,-0.00694545,0.000922852,0,-0.000101674,8.18473e-05
0.5,-0.00694336,0.000921097,0,-0.000103707,8.27341e-05
0.5,-0.00692871,0.000910395,0,-9.68536e-05,7.56494e-05
0.5,-0.00692507,0.000908203,0,-0.000105906,7.55086e-05
0.5,-0.00691406,0.0008983,0,-9.14211e-05,6.60619e-05
0.5,-0.00691406,0.0008983,0,-9.14207e-05,6.60619e-05
0.5,-0.00688646,0.000878906,0,-8.16274e-05,6.89818e-05
0.5,-0.00688477,0.000877262,0,-8.14885e-05,6.90257e-05
0.5,-0.00685547,0.000857072,0,-3.12471e-05,2.61577e-05
0.5,-0.00684537,0.000849609,0,-4.15509e-05,4.17834e-05
0.5,-0.00682617,0.000836186,0,-1.50112e-05,2.8334e-05
0.5,-0.00680256,0.000820312,0,-4.10891e-05,5.22667e-05
0.5,-0.00679687,0.000816095,0,-4.06941e-05,5.12466e-05
0.5,-0.00676758,0.000797816,0,-2.59223e-05,2.71579e-05
