B,Points_0,Points_1,Points_2,U,V
0.5,-0.0075,0.000639186,0,0,-0.02
0.5,-0.00749268,0.000637247,0,-0.00773758,0.00116044
0.5,-0.00749261,0.000637207,0,-0.00773859,0.00116859
0.5,-0.00748535,0.000633426,0,-0.00788353,0.00398408
0.5,-0.00747833,0.000629883,0,-0.00933094,0.00449158
0.5,-0.00747803,0.000629713,0,-0.00935472,0.00451707
0.5,-0.0074707,0.000626124,0,-0.00934986,0.00458134
0.5,-0.00746338,0.000622584,0,-0.00971679,0.00461269
0.5,-0.00746333,0.000622559,0,-0.00971894,0.00461411
0.5,-0.00745605,0.000619094,0,-0.00960281,0.00458823
0.5,-0.00744873,0.000615698,0,-0.00974733,0.00450858
0.5,-0.00744782,0.000615234,0,-0.00977603,0.00452005
0.5,-0.00744141,0.000612259,0,-0.00973646,0.00451346
0.5,-0.00743408,0.000608969,0,-0.00978713,0.00443994
0.5,-0.00743187,0.00060791,0,-0.00983233,0.00444518
0.5,-0.00742676,0.000605571,0,-0.00983271,0.00443997
0.5,-0.00741943,0.000602356,0,-0.00984289,0.00438739
0.5,-0.00741554,0.000600586,0,-0.00989953,0.00437974
0.5,-0.00741211,0.000599016,0,-0.00990898,0.00437574
0.5,-0.00740479,0.000595857,0,-0.0099004,0.00434115
0.5,-0.00739885,0.000593262,0,-0.00996595,0.0043205
0.5,-0.00739746,0.000592613,0,-0.00997071,0.00431828
0.5,-0.00739014,0.000589499,0,-0.00995731,0.00429567
0.5,-0.00738281,0.000586404,0,-0.0100056,0.00425491
0.5,-0.0073818,0.000585937,0,-0.0100174,0.00425517
0.5,-0.00737549,0.000583257,0,-0.0100186,0.00423827
0.5,-0.00736816,0.000580224,0,-0.0100364,0.00419951
0.5,-0.00736439,0.000578613,0,-0.0100645,0.00418623
0.5,-0.00736084,0.000577089,0,-0.0100751,0.00417745
0.5,-0.00735352,0.000575435,0,-0.0100034,0.00416609
0.5,-0.0073441,0.000571289,0,-0.0101221,0.00414206
0.5,-0.00733887,0.000568051,0,-0.0101186,0.00411532
0.5,-0.00732422,0.000562226,0,-0.0101069,0.00406715
0.5,-0.00731015,0.000556641,0,-0.0102062,0.00403049
0.5,-0.00730957,0.00055639,0,-0.0102068,0.00402941
0.5,-0.00729492,0.000550684,0,-0.010162,0.00396987
0.5,-0.00728027,0.000545097,0,-0.0101822,0.00391009
0.5,-0.00727226,0.000541992,0,-0.0102311,0.00389069
0.5,-0.00726562,0.000539395,0,-0.0102298,0.00387351
0.5,-0.00725098,0.000533974,0,-0.0102022,0.00382121
0.5,-0.00723633,0.000528625,0,-0.0102449,0.00376937
0.5,-0.00723301,0.000527344,0,-0.0102598,0.00376382
0.5,-0.00722168,0.000523188,0,-0.0102387,0.00372613
0.5,-0.00720703,0.000517929,0,-0.0102244,0.0036773
0.5,-0.00719238,0.000512721,0,-0.0102776,0.00363858
0.5,-0.00719231,0.000512695,0,-0.0102779,0.00363851
0.5,-0.00717773,0.000507577,0,-0.0102421,0.00358582
0.5,-0.00716309,0.000502504,0,-0.0102376,0.00353915
0.5,-0.00715008,0.000498047,0,-0.0102809,0.00350908
0.5,-0.00714844,0.000497445,0,-0.0102812,0.00350556
0.5,-0.00713379,0.000492533,0,-0.0102579,0.00345672
0.5,-0.00711914,0.000487647,0,-0.010263,0.00341547
0.5,-0.00710627,0.000483398,0,-0.0103047,0.00338908
0.5,-0.00710449,0.000482771,0,-0.0103058,0.00338564
0.5,-0.00708984,0.000478039,0,-0.0102904,0.00334123
0.5,-0.0070752,0.000473324,0,-0.010297,0.0033037
0.5,-0.00706082,0.00046875,0,-0.0103384,0.00327553
0.5,-0.00706055,0.000468659,0,-0.0103386,0.00327504
0.5,-0.0070459,0.000464063,0,-0.0103261,0.00323385
0.5,-0.00703125,0.000459515,0,-0.0103294,0.00319705
0.5,-0.0070166,0.000455066,0,-0.0103628,0.00316556
0.5,-0.00701357,0.000454102,0,-0.0103708,0.00316096
0.5,-0.00700195,0.000450567,0,-0.0103681,0.00313312
0.5,-0.0069873,0.000446188,0,-0.0103724,0.00309454
0.5,-0.00697266,0.000441885,0,-0.0103953,0.00306423
0.5,-0.00696447,0.000439453,0,-0.0104136,0.003049
0.5,-0.00695801,0.000437517,0,-0.0104181,0.00303638
0.5,-0.00694336,0.000433322,0,-0.0104297,0.00300388
0.5,-0.00692871,0.000429132,0,-0.0104518,0.00297826
0.5,-0.00691406,0.000424927,0,-0.010456,0.00294606
0.5,-0.00691406,0.000424926,0,-0.0104561,0.00294606
0.5,-0.00688477,0.000416873,0,-0.0104367,0.00287447
0.5,-0.00686011,0.000410156,0,-0.0104433,0.00283384
0.5,-0.00685547,0.000408832,0,-0.0104386,0.00282409
0.5,-0.00682617,0.000401107,0,-0.010389,0.00274449
0.5,-0.00679687,0.00039349,0,-0.0103733,0.00268501
0.5,-0.00676758,0.000386069,0,-0.0104011,0.0026305
0.5,-0.00674673,0.000380859,0,-0.0104281,0.00259419
0.5,-0.00673828,0.00037869,0,-0.0104222,0.00257678
0.5,-0.00670898,0.000371632,0,-0.0103877,0.00250725
0.5,-0.00667969,0.000364659,0,-0.0103771,0.00245384
0.5,-0.00665039,0.00035784,0,-0.0103932,0.00240659
0.5,-0.00662283,0.000351562,0,-0.0104194,0.00236465
0.5,-0.00662109,0.000351145,0,-0.0104187,0.00236158
0.5,-0.0065918,0.000344635,0,-0.0103843,0.00230012
0.5,-0.0065625,0.000338242,0,-0.0103747,0.00224895
0.5,-0.0065332,0.000331986,0,-0.0103826,0.00220382
0.5,-0.00650391,0.000325894,0,-0.0104045,0.00216116
0.5,-0.00648632,0.000322266,0,-0.010422,0.00213817
0.5,-0.00647461,0.000319827,0,-0.0104192,0.00211923
0.5,-0.00644531,0.000314005,0,-0.0104071,0.00206861
0.5,-0.00641602,0.000308262,0,-0.0104105,0.00202524
0.5,-0.00638672,0.00030264,0,-0.0104194,0.00198576
0.5,-0.00635742,0.000297147,0,-0.0104408,0.00194872
0.5,-0.00633476,0.000292969,0,-0.0104619,0.00192295
0.5,-0.00632812,0.000291715,0,-0.010462,0.00191401
0.5,-0.00629883,0.000286473,0,-0.0104537,0.00187039
0.5,-0.00626953,0.000281306,0,-0.0104597,0.00183114
0.5,-0.00624023,0.000276246,0,-0.0104709,0.00179346
0.5,-0.00621094,0.000271292,0,-0.0104864,0.00175982
0.5,-0.00618164,0.000266461,0,-0.0105167,0.00173039
0.5,-0.00616456,0.000263672,0,-0.010539,0.00171491
0.5,-0.00615234,0.000261664,0,-0.0105455,0.00170117
0.5,-0.00612305,0.000257038,0,-0.010569,0.00166713
0.5,-0.00609375,0.000252481,0,-0.0106007,0.00163778
0.5,-0.00606445,0.000248018,0,-0.0106412,0.00160906
0.5,-0.00603516,0.000243647,0,-0.0106817,0.00158495
0.5,-0.00600586,0.000239366,0,-0.010744,0.00155986
0.5,-0.00597656,0.000236977,0,-0.0107555,0.00152568
0.5,-0.00596065,0.000234375,0,-0.0107421,0.00150215
0.5,-0.00591797,0.000227067,0,-0.0106444,0.00144625
0.5,-0.00585938,0.000219258,0,-0.0104967,0.00137341
0.5,-0.00580078,0.000211762,0,-0.0103968,0.00130432
0.5,-0.00574219,0.000204568,0,-0.0102932,0.00124085
0.5,-0.00568359,0.000197665,0,-0.0102104,0.00118061
0.5,-0.005625,0.000191041,0,-0.0101351,0.00112762
0.5,-0.00556641,0.000184682,0,-0.0100926,0.0010796
0.5,-0.00550781,0.000178601,0,-0.0100731,0.00103805
0.5,-0.0054798,0.000175781,0,-0.0100716,0.0010206
0.5,-0.00544922,0.000172708,0,-0.0100511,0.000997047
0.5,-0.00539062,0.000167101,0,-0.0100394,0.000952409
0.5,-0.00533203,0.000161703,0,-0.0100303,0.000912123
0.5,-0.00527344,0.000156522,0,-0.0100046,0.000871899
0.5,-0.00521484,0.000151549,0,-0.00997041,0.000831851
0.5,-0.00515625,0.000146775,0,-0.0099324,0.000794548
0.5,-0.00509766,0.000142192,0,-0.00989585,0.000759558
0.5,-0.00503906,0.000137793,0,-0.00986568,0.000725469
0.5,-0.00498047,0.000133569,0,-0.00984348,0.00069473
0.5,-0.00492188,0.000129513,0,-0.00983712,0.000666914
0.5,-0.00486328,0.000125619,0,-0.00984348,0.000641483
0.5,-0.00480469,0.000121879,0,-0.0098766,0.000614051
0.5,-0.00474609,0.000118295,0,-0.00991404,0.000598721
0.5,-0.00472742,0.000117187,0,-0.0099515,0.000593373
0.5,-0.0046875,0.000114832,0,-0.0100183,0.00058149
0.5,-0.00462891,0.000111522,0,-0.0102072,0.000567526
0.5,-0.00457031,0.000108342,0,-0.0104482,0.000559044
0.5,-0.00451172,0.00010529,0,-0.010674,0.0005441
0.5,-0.00433594,9.68506e-05,0,-0.0100297,0.000432559
0.5,-0.00445312,9.65762e-05,0,-0.0105858,0.000526618
0.5,-0.00445312,9.65761e-05,0,-0.0105857,0.000526618
0.5,-0.00421875,9.17499e-05,0,-0.00940175,0.00037559
0.5,-0.00410156,8.7046e-05,0,-0.00886347,0.000329027
0.5,-0.00398438,8.27054e-05,0,-0.00840056,0.000290817
0.5,-0.00386719,7.87004e-05,0,-0.00798465,0.000257484
0.5,-0.00375,7.50048e-05,0,-0.00761062,0.000228006
0.5,-0.00363281,7.15947e-05,0,-0.00725961,0.000201535
0.5,-0.00351562,6.8448e-05,0,-0.00693256,0.000178166
0.5,-0.00339844,6.55436e-05,0,-0.00662134,0.000157332
0.5,-0.00328125,6.28631e-05,0,-0.00632704,0.000138994
0.5,-0.00316406,6.03886e-05,0,-0.00604529,0.000122759
0.5,-0.00304688,5.81037e-05,0,-0.00577673,0.000108583
0.5,-0.00292969,5.59936e-05,0,-0.00551896,9.59945e-05
0.5,-0.0028125,5.40448e-05,0,-0.00527219,8.47905e-05
0.5,-0.00269531,5.22443e-05,0,-0.00503499,7.4869e-05
0.5,-0.00257812,5.05805e-05,0,-0.0048074,6.61152e-05
0.5,-0.00246094,4.90425e-05,0,-0.0045885,5.83708e-05
0.5,-0.00234375,4.76208e-05,0,-0.00437823,5.15358e-05
0.5,-0.00222656,4.63057e-05,0,-0.00417597,4.54924e-05
0.5,-0.00210938,4.50893e-05,0,-0.00398158,4.01585e-05
0.5,-0.00199219,4.39638e-05,0,-0.00379463,3.54441e-05
0.5,-0.001875,4.29219e-05,0,-0.00361497,3.12821e-05
0.5,-0.00175781,4.19569e-05,0,-0.00344226,2.76053e-05
0.5,-0.00164062,4.10633e-05,0,-0.00327635,2.43594e-05
0.5,-0.00152344,4.0235e-05,0,-0.00311695,2.14926e-05
0.5,-0.00140625,3.94672e-05,0,-0.00296392,1.8962e-05
0.5,-0.00128906,3.87554e-05,0,-0.00281702,1.67271e-05
0.5,-0.00117187,3.80947e-05,0,-0.00267609,1.47549e-05
0.5,-0.00105469,3.74816e-05,0,-0.00254094,1.30136e-05
0.5,-0.0009375,3.69123e-05,0,-0.00241139,1.14766e-05
0.5,-0.000820312,3.63835e-05,0,-0.00228728,1.01199e-05
0.5,-0.000703125,3.5892e-05,0,-0.00216844,8.92264e-06
0.5,-0.000585937,3.5435e-05,0,-0.00205471,7.86587e-06
0.5,-0.00046875,3.50098e-05,0,-0.00194593,6.9333e-06
0.5,-0.000351562,3.46142e-05,0,-0.00184193,6.10995e-06
0.5,-0.000234375,3.42458e-05,0,-0.00174257,5.3833e-06
0.5,-0.000117187,3.39027e-05,0,-0.0016477,4.74284e-06
0.5,0,3.3583e-05,0,-0.00155708,4.17791e-06
0.5,0.000117187,3.32846e-05,0,-0.0014705,3.6786e-06
0.5,0.000234375,3.30067e-05,0,-0.0013881,3.23687e-06
