B,Points_0,Points_1,Points_2,Points_Magnitude,U,V
0.5,-0.00615234,0.000757577,0,0.00619881,-0.00189036,0.000372179
0.5,-0.00609375,0.000736366,0,0.00613808,-0.00217759,0.00040123
0.5,-0.00603516,0.000715978,0,0.00607748,-0.00254,0.000499747
0.5,-0.00598632,0.000703125,0,0.00602747,-0.00275793,0.000517025
0.5,-0.00597656,0.00069789,0,0.00601717,-0.00278307,0.000513301
0.5,-0.00585938,0.00065959,0,0.00589639,-0.00259025,0.00034171
0.5,-0.00574219,0.000625668,0,0.00577618,-0.00250634,0.000263972
0.5,-0.005625,0.00059482,0,0.00565636,-0.00259154,0.000327643
0.5,-0.00558985,0.000585937,0,0.00562048,-0.00266282,0.000370216
0.5,-0.00550781,0.000565765,0,0.00553679,-0.00270788,0.000337824
0.5,-0.00539062,0.000539521,0,0.00541755,-0.0031382,0.000321861
0.5,-0.00527344,0.000515235,0,0.00529855,-0.00354005,0.000312803
0.5,-0.00515625,0.000492859,0,0.00517975,-0.00394767,0.000276061
0.5,-0.00503906,0.000472311,0,0.00506115,-0.00440209,0.000403301
0.5,-0.00501783,0.00046875,0,0.00503967,-0.00456943,0.000426971
0.5,-0.00492188,0.000453104,0,0.00494269,-0.00519251,0.000499453
0.5,-0.00480469,0.000435542,0,0.00482439,-0.00641307,0.000551384
0.5,-0.0046875,0.000419325,0,0.00470622,-0.00756959,0.000605321
0.5,-0.00457031,0.000404354,0,0.00458816,-0.0086912,0.000584172
0.5,-0.00445312,0.000379315,0,0.00446925,-0.00897146,0.000553337
0.5,-0.00421875,0.000366212,0,0.00423461,-0.0073199,0.00016241
0.5,-0.00445312,0.000379316,0,0.00446925,-0.00897145,0.000553338
0.5,-0.00398438,0.000345247,0,0.00399931,-0.00531173,-7.79074e-05
0.5,-0.00375,0.000327389,0,0.00376426,-0.00377026,-0.000216473
0.5,-0.00351562,0.000312134,0,0.00352945,-0.00254686,-0.000291295
0.5,-0.00328125,0.000299096,0,0.00329485,-0.00161686,-0.000337012
0.5,-0.00304688,0.000287953,0,0.00306046,-0.000908047,-0.000357347
0.5,-0.0028125,0.000278429,0,0.00282625,-0.00037916,-0.000367524
0.5,-0.00257812,0.000270293,0,0.00259225,3.65421e-06,-0.00037269
0.5,-0.00234375,0.000263343,0,0.0023585,0.000271459,-0.000373116
0.5,-0.00210938,0.000257412,0,0.00212503,0.000444732,-0.000370571
0.5,-0.001875,0.000252353,0,0.00189191,0.000545476,-0.000366489
0.5,-0.00164062,0.00024804,0,0.00165926,0.000590596,-0.000362262
0.5,-0.00140625,0.000244365,0,0.00142732,0.000599104,-0.000358891
0.5,-0.00117187,0.000241233,0,0.00119644,0.000592018,-0.000357258
0.5,-0.0009375,0.000238559,0,0.000967376,0.000583878,-0.000356906
0.5,-0.000703125,0.000236275,0,0.000741762,0.000558668,-0.000363003
0.5,-0.000474778,0.000234375,0,0.000529477,0.000421327,-0.000375722
0.5,-0.00046875,0.000234325,0,0.000524056,0.000418301,-0.000376028
0.5,-0.000234375,0.000232672,0,0.000330254,0.000160189,-0.000380203
0.5,0,0.000231289,0,0.000231289,-6.3699e-05,-0.000379814
0.5,0.000234375,0.000230135,0,0.000328472,-0.00017285,-0.00037582
0.5,0.00046875,0.000229163,0,0.000521768,-0.000214459,-0.000364774
0.5,0.000703125,0.00022834,0,0.000739273,-0.00021952,-0.00035181
0.5,0.0009375,0.000227643,0,0.000964742,-0.000209459,-0.000339502
0.5,0.00117187,0.000227052,0,0.00119366,-0.000193346,-0.000326862
0.5,0.00140625,0.000226552,0,0.00142438,-0.00017533,-0.000314024
0.5,0.00164062,0.000226129,0,0.00165613,-0.000156948,-0.000300515
0.5,0.001875,0.00022577,0,0.00188854,-0.000138772,-0.000286608
0.5,0.00210938,0.000225464,0,0.0021214,-0.000121004,-0.000272283
0.5,0.00234375,0.0002252,0,0.00235454,-0.000103853,-0.000257724
0.5,0.00257812,0.000224971,0,0.00258792,-8.74139e-05,-0.000243171
0.5,0.0028125,0.000224768,0,0.00282147,-7.18592e-05,-0.000228906
0.5,0.00304688,0.000224587,0,0.00305515,-5.72225e-05,-0.000215162
0.5,0.00328125,0.000224419,0,0.00328892,-4.36259e-05,-0.000202055
0.5,0.00351562,0.000224261,0,0.00352277,-3.09964e-05,-0.000189642
0.5,0.00375,0.000224108,0,0.00375669,-1.94909e-05,-0.000177968
0.5,0.00398438,0.000223959,0,0.00399067,-8.87767e-06,-0.000167061
0.5,0.00421875,0.000223811,0,0.00422468,5.89303e-07,-0.000156935
0.5,0.00445312,0.000223661,0,0.00445873,9.40523e-06,-0.000147548
0.5,0.0046875,0.00022351,0,0.00469283,1.71039e-05,-0.00013885
0.5,0.00492188,0.000223358,0,0.00492695,2.4626e-05,-0.000130713
0.5,0.00515625,0.000223204,0,0.00516108,3.10451e-05,-0.00012311
